תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
977/2012,897/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\970\008\b05&fileName=12008970_b05.txt&type=2,כן,,,הוספה לנמלה
2880/2015,2997/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\800\028\a30&fileName=15028800.A30&type=2,,כן,,העתקת  קידוד מהתיק המקורי
3035/2015,2997/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\800\028\a30&fileName=15028800.A30&type=2,,כן,,העתקת  קידוד מהתיק המקורי
3046/2013,2599/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\990\025\l19&fileName=13025990_l19.txt&type=2,כן,,,הוספה לנמלה
7190/2015,5981/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\810\059\w01&fileName=15059810_w01.txt&type=2,כן,,,הוספה לנמלה
218/2011,190/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\900\001\s07&fileName=11001900_s07.txt&type=2,כן,,,הוספה לנמלה
6321/2015,5865/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\650\058\t08&fileName=15058650_t08.txt&type=2,כן,,,הוספה לנמלה
7880/2014,7863/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\630\078\t05&fileName=14078630_t05.txt&type=2,כן,,,הוספה לנמלה
3333/2014,1535/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\015\v09&fileName=13015350_v09.txt&type=2,כן,,,הוספה לנמלה
7205/2013,1535/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\015\v09&fileName=13015350_v09.txt&type=2,כן,,,הוספה לנמלה
3093/2014,1535/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\015\v09&fileName=13015350_v09.txt&type=2,כן,,,הוספה לנמלה
7733/2013,1535/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\015\v09&fileName=13015350_v09.txt&type=2,כן,,,הוספה לנמלה
3327/2014,1535/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\015\v09&fileName=13015350_v09.txt&type=2,כן,,,הוספה לנמלה
7207/2013,1535/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\015\v09&fileName=13015350_v09.txt&type=2,כן,,,הוספה לנמלה
2264/2011,2590/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\900\025\p03&fileName=11025900_p03.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
957/2017,921/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\210\009\w04&fileName=17009210_w04.txt&type=2,כן,,,הוספה לנמלה
1040/2017,921/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\210\009\w04&fileName=17009210_w04.txt&type=2,כן,,,הוספה לנמלה
6237/2015,7900/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\990\061\k30&fileName=15061990.K30&type=2,,כן,,העתקת  קידוד מהתיק המקורי
6199/2015,7900/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\990\061\k30&fileName=15061990.K30&type=2,,כן,,העתקת  קידוד מהתיק המקורי
8896/2015,7900/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\990\061\k30&fileName=15061990.K30&type=2,,כן,,העתקת  קידוד מהתיק המקורי
8994/2015,7900/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\990\061\k30&fileName=15061990.K30&type=2,,כן,,העתקת  קידוד מהתיק המקורי
8364/2013,8361/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\610\083\z05&fileName=13083610_z05.txt&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
8363/2013,8361/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\610\083\z05&fileName=13083610_z05.txt&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
8725/2012,7136/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\360\071\w08&fileName=12071360_w08.txt&type=2,כן,,,הוספה לנמלה
2789/2013,2878/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\780\028\a03&fileName=13028780_a03.txt&type=2,כן,כן,,הוספה לנמלה
