תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
6171/2015,6041/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\410\060\w03&fileName=15060410_w03.txt&type=2,כן,,,הוספה לנמלה
936/2013,2118/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\180\021\w10&fileName=12021180_w10.txt&type=2,כן,,,הוספה לנמלה
5856/2011,5846/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\460\058\n10&fileName=11058460_n10.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
5905/2010,4931/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\310\049\v07&fileName=10049310_v07.txt&type=2,כן,,,הוספה לנמלה
1005/2015,7171/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\710\071\l11&fileName=14071710_l11.txt&type=2,כן,,,הוספה לנמלה
5970/2012,5968/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\680\059\s09&fileName=12059680_s09.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
3066/2010,2533/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\330\025\z04&fileName=10025330_z04.txt&type=2,כן,,,הוספה לנמלה
5314/2014,7958/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\580\079\t36&fileName=13079580_t36.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
4654/2015,7958/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\580\079\t36&fileName=13079580_t36.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
8682/2013,8617/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\170\086\a05&fileName=13086170_a05.txt&type=2,כן,,,הוספה לנמלה
8382/2011,7569/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\690\075\n11&fileName=11075690_n11.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
2778/2014,375/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\750\003\v13&fileName=14003750_v13.txt&type=2,כן,כן,,הוספה לנמלה
6604/2011,6565/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\650\065\v09&fileName=11065650_v09.txt&type=2,כן,,,הוספה לנמלה
6588/2011,6565/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\650\065\v09&fileName=11065650_v09.txt&type=2,כן,,,הוספה לנמלה
45/2014,8748/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\480\087\i06&fileName=13087480_i06.txt&type=2,כן,,,הוספה לנמלה
3664/2015,3301/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\010\033\t04&fileName=15033010_t04.txt&type=2,כן,כן,,הוספה לנמלה
3599/2011,3578/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\780\035\i05&fileName=11035780_i05.txt&type=2,כן,,,הוספה לנמלה
7975/2015,7977/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\770\079\v11&fileName=15079770_v11.txt&type=2,כן,,,הוספה לנמלה
9531/2010,9403/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\030\094\n05&fileName=10094030_n05.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
105/2017,192/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\050\001\a01&fileName=17001050.A01&type=2,כן,,,הוספה לנמלה
261/2015,152/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\520\001\h06&fileName=15001520_h06.txt&type=2,כן,,,הוספה לנמלה
174/2015,152/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\520\001\h06&fileName=15001520_h06.txt&type=2,כן,,,הוספה לנמלה
160/2015,152/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\520\001\h06&fileName=15001520_h06.txt&type=2,כן,,,הוספה לנמלה
2250/2015,2204/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\040\022\v01&fileName=15022040_v01.txt&type=2,כן,,,הוספה לנמלה
7538/2010,7156/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\560\071\v07&fileName=10071560_v07.txt&type=2,כן,,,הוספה לנמלה
5206/2010,4559/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\590\045\e03&fileName=10045590_e03.txt&type=2,כן,,,הוספה לנמלה
8732/2015,8694/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\940\086\w06&fileName=15086940_w06.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6465/2013,6337/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\370\063\t06&fileName=13063370_t06.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7301/2014,7221/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\210\072\z03&fileName=14072210_z03.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
9914/2016,9925/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\140\099\i06&fileName=16099140.I06&type=2,,,,העתקת  קידוד מהתיק המקורי
906/2011,319/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\190\003\v01&fileName=11003190_v01.txt&type=2,כן,,,הוספה לנמלה
3297/2011,3054/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\540\030\s04&fileName=11030540_s04.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
6102/2010,5915/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\150\059\t09&fileName=10059150_t09.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
3321/2014,2719/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\190\027\v12&fileName=14027190_v12.txt&type=2,כן,,,הוספה לנמלה
3185/2014,2719/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\190\027\v12&fileName=14027190_v12.txt&type=2,כן,,,הוספה לנמלה
5108/2012,5107/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\070\051\w04&fileName=12051070_w04.txt&type=2,כן,,,הוספה לנמלה
391/2011,318/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\180\003\v01&fileName=11003180_v01.txt&type=2,כן,,,הוספה לנמלה
2051/2010,2046/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\460\020\n16&fileName=10020460_n16.txt&type=2,כן,,,הוספה לנמלה
2935/2010,2634/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\340\026\n02&fileName=10026340_n02.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8372/2014,8344/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\440\083\w06&fileName=14083440_w06.txt&type=2,כן,,,הוספה לנמלה
9419/2010,9379/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\790\093\s05&fileName=10093790_s05.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
1634/2016,744/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\440\007\h13&fileName=16007440_h13.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
1558/2016,7560/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\600\075\v14&fileName=15075600_v14.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6689/2015,6624/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\240\066\v12&fileName=15066240_v12.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
431/2012,3936/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\360\039\h17&fileName=11039360_h17.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
5133/2012,2500/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\000\025\s27&fileName=11025000_s27.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
4479/2015,4438/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\380\044\e15&fileName=15044380_e15.txt&type=2,כן,,,הוספה לנמלה
5832/2014,5718/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\180\057\t03&fileName=14057180_t03.txt&type=2,כן,,,הוספה לנמלה
6975/2017,5209/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\090\052\o03&fileName=17052090.O03&type=2,כן,,,הוספה לנמלה
7518/2013,7487/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\870\074\t11&fileName=13074870_t11.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6101/2011,6099/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\990\060\t03&fileName=11060990_t03.txt&type=2,כן,,,הוספה לנמלה
6600/2012,6137/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\370\061\t10&fileName=12061370_t10.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8322/2012,7685/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\850\076\s11&fileName=12076850_s11.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7666/2012,7660/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\600\076\c08&fileName=12076600_c08.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
4259/2010,3958/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\580\039\o01&fileName=10039580_o01.txt&type=2,כן,,,הוספה לנמלה
4081/2010,3962/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\620\039\o02&fileName=10039620_o02.txt&type=2,כן,,,הוספה לנמלה
4099/2012,3564/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\640\035\l02&fileName=12035640_l02.txt&type=2,כן,,,הוספה לנמלה
6969/2016,6929/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\290\069\v03&fileName=16069290_v03.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7869/2011,7849/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\490\078\z18&fileName=11078490_z18.txt&type=2,כן,,,הוספה לנמלה
7897/2011,7849/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\490\078\z18&fileName=11078490_z18.txt&type=2,כן,,,הוספה לנמלה
5894/2015,5335/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\350\053\i03&fileName=15053350_i03.txt&type=2,כן,,,הוספה לנמלה
6241/2015,5335/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\350\053\i03&fileName=15053350_i03.txt&type=2,כן,,,הוספה לנמלה
5899/2015,5335/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\350\053\i03&fileName=15053350_i03.txt&type=2,כן,,,הוספה לנמלה
8064/2013,8052/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\520\080\l05&fileName=13080520_l05.txt&type=2,כן,,,הוספה לנמלה
9087/2012,8160/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\600\081\k05&fileName=11081600_k05.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6869/2012,6132/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\320\061\m15&fileName=12061320_m15.txt&type=2,כן,,,הוספה לנמלה
6366/2010,5525/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\250\055\e08&fileName=10055250_e08.txt&type=2,כן,,,הוספה לנמלה
7315/2010,6823/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\230\068\m07&fileName=10068230_m07.txt&type=2,כן,,,הוספה לנמלה
9672/2010,9671/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\710\096\t04&fileName=10096710_t04.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
6528/2013,9669/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\096\s48&fileName=10096690_s48.txt&type=2,כן,כן,,הוספה לנמלה
2882/2016,2204/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\040\022\t08&fileName=16022040_t08.txt&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
8211/2015,1246/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\460\012\c10&fileName=15012460_c10.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
7375/2011,7067/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\670\070\z05&fileName=11070670_z05.txt&type=2,כן,,,הוספה לנמלה
8732/2011,7696/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\960\076\c07&fileName=11076960_c07.txt&type=2,כן,,,הוספה לנמלה
4703/2010,1812/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\120\018\p08&fileName=10018120_p08.txt&type=2,כן,,,הוספה לנמלה
3155/2010,1812/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\120\018\p08&fileName=10018120_p08.txt&type=2,כן,,,הוספה לנמלה
2973/2017,3192/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\730\029\v18&fileName=17029730.V18&type=2,,,,העתקת  קידוד מהתיק המקורי
6421/2015,4372/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\720\043\c08&fileName=15043720_c08.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
9248/2011,9621/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\210\096\b03&fileName=11096210_b03.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
2614/2011,2474/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\740\024\o02&fileName=11024740_o02.txt&type=2,כן,,,הוספה לנמלה
3871/2011,3401/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\010\034\n01&fileName=11034010_n01.txt&type=2,כן,,,הוספה לנמלה
3499/2011,3401/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\010\034\n01&fileName=11034010_n01.txt&type=2,כן,,,הוספה לנמלה
3488/2011,3401/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\010\034\n01&fileName=11034010_n01.txt&type=2,כן,,,הוספה לנמלה
1167/2012,466/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\660\004\h01&fileName=12004660_h01.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7102/2012,7671/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\020\071\g20&fileName=12071020.G20&type=2,כן,,,הוספה לנמלה
8777/2011,3734/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\037\c14&fileName=11037340_c14.txt&type=2,כן,כן,,הוספה לנמלה
2279/2012,3734/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\037\c14&fileName=11037340_c14.txt&type=2,כן,כן,,הוספה לנמלה
4512/2011,3734/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\037\c14&fileName=11037340_c14.txt&type=2,כן,כן,,הוספה לנמלה
4602/2012,4536/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\360\045\b04&fileName=12045360_b04.txt&type=2,כן,,,הוספה לנמלה
6910/2015,6293/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\930\062\v05&fileName=15062930_v05.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8703/2013,8473/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\730\084\z03&fileName=13084730_z03.txt&type=2,כן,,,הוספה לנמלה
1390/2017,64/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\640\000\n12&fileName=17000640_n12.txt&type=2,כן,כן,,הוספה לנמלה
8319/2016,8749/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\490\087\m07&fileName=16087490_m07.txt&type=2,כן,,,הוספה לנמלה
8499/2010,8299/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\990\082\s17&fileName=10082990_s17.txt&type=2,כן,,,הוספה לנמלה
2302/2016,2299/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\990\022\w10&fileName=16022990_w10.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
6773/2014,6410/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\100\064\i15&fileName=14064100_i15.txt&type=2,כן,כן,,הוספה לנמלה
4503/2013,3677/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\770\036\h11&fileName=13036770_h11.txt&type=2,כן,,,הוספה לנמלה
4606/2013,3677/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\770\036\h11&fileName=13036770_h11.txt&type=2,כן,,,הוספה לנמלה
6667/2010,7441/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\410\074\e08&fileName=10074410_e08.txt&type=2,כן,,,הוספה לנמלה
1817/2016,1802/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\020\018\e05&fileName=16018020_e05.txt&type=2,כן,כן,,הוספה לנמלה
7126/2013,6519/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\190\065\e08&fileName=13065190_e08.txt&type=2,כן,,,הוספה לנמלה
4734/2012,1620/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\200\016\v05&fileName=12016200_v05.txt&type=2,כן,,,הוספה לנמלה
2024/2016,437/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\370\004\c37&fileName=15004370_c37.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
389/2016,437/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\370\004\c37&fileName=15004370_c37.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
4930/2012,4776/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\760\047\c05&fileName=12047760_c05.txt&type=2,כן,,כן,הוספה לנמלה
1906/2015,844/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\440\008\w28&fileName=12008440_w28.txt&type=2,כן,,,הוספה לנמלה
2755/2015,844/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\440\008\w28&fileName=12008440_w28.txt&type=2,כן,,,הוספה לנמלה
1925/2010,1882/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\820\018\s03&fileName=10018820_s03.txt&type=2,כן,כן,,הוספה לנמלה
1949/2010,1882/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\820\018\s03&fileName=10018820_s03.txt&type=2,כן,כן,,הוספה לנמלה
8165/2011,8161/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\610\081\s06&fileName=11081610_s06.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7972/2013,7553/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\530\075\e10&fileName=13075530_e10.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
2532/2014,7553/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\530\075\e10&fileName=13075530_e10.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6369/2012,5471/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\710\054\s04&fileName=12054710_s04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7921/2013,5471/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\710\054\s04&fileName=12054710_s04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
784/2013,743/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\430\007\c04&fileName=13007430_c04.txt&type=2,כן,,,הוספה לנמלה
7099/2012,7579/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\790\075\s05&fileName=12075790_s05.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6233/2010,6524/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\240\065\o02&fileName=10065240_o02.txt&type=2,כן,,,הוספה לנמלה
2315/2011,1411/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\110\014\z07&fileName=11014110_z07.txt&type=2,כן,,,הוספה לנמלה
5101/2012,4167/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\670\041\a05&fileName=12041670_a05.txt&type=2,כן,,,הוספה לנמלה
4168/2012,4167/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\670\041\a05&fileName=12041670_a05.txt&type=2,כן,,,הוספה לנמלה
3325/2012,2198/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\980\021\b02&fileName=12021980_b02.txt&type=2,כן,,,הוספה לנמלה
8066/2015,8009/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\090\080\i06&fileName=15080090_i06.txt&type=2,כן,,,הוספה לנמלה
7472/2012,7138/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\380\071\t13&fileName=12071380_t13.txt&type=2,כן,,,הוספה לנמלה
7429/2013,7512/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\120\075\s06&fileName=13075120_s06.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
1390/2013,1281/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\810\012\s04&fileName=13012810_s04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7997/2015,8387/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\970\079\o05&fileName=15079970.O05&type=2,כן,,,הוספה לנמלה
5158/2012,5115/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\150\051\t05&fileName=12051150_t05.txt&type=2,כן,,,הוספה לנמלה
5494/2011,3981/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,הוספה לנמלה
8553/2011,3981/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,הוספה לנמלה
4731/2011,3981/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,הוספה לנמלה
8461/2011,3981/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,הוספה לנמלה
4727/2011,3981/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,הוספה לנמלה
3472/2013,2856/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\560\028\w05&fileName=13028560_w05.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
2367/2013,348/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\480\003\k12&fileName=13003480_k12.txt&type=2,כן,כן,,הוספה לנמלה
2988/2010,2169/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\021\p06&fileName=10021690_p06.txt&type=2,כן,,,הוספה לנמלה
7226/2015,7159/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\590\071\t11&fileName=15071590_t11.txt&type=2,כן,,,הוספה לנמלה
5023/2013,5014/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\140\050\t04&fileName=13050140_t04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6247/2011,6185/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\061\o02&fileName=11061850_o02.txt&type=2,כן,,,הוספה לנמלה
6309/2011,6185/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\061\o02&fileName=11061850_o02.txt&type=2,כן,,,הוספה לנמלה
8463/2011,8358/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\580\083\t06&fileName=11083580_t06.txt&type=2,כן,,,הוספה לנמלה
345/2013,167/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\670\001\o04&fileName=13001670_o04.txt&type=2,כן,,,הוספה לנמלה
5750/2011,5746/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\460\057\k17&fileName=11057460_k17.txt&type=2,כן,,,הוספה לנמלה
10180/2016,6766/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\660\067\m05&fileName=17067660.M05&type=2,,כן,,העתקת  קידוד מהתיק המקורי
1870/2016,1859/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\590\018\k08&fileName=16018590_k08.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
5301/2016,5308/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\010\053\m06&fileName=16053010.M06&type=2,,,,העתקת  קידוד מהתיק המקורי
9721/2010,9709/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\090\097\p12&fileName=10097090_p12.txt&type=2,כן,,,הוספה לנמלה
4424/2010,397/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\970\003\b13&fileName=10003970_b13.txt&type=2,כן,כן,,הוספה לנמלה
