תיק כפול,תיק מקורי,כתובת,האם תוצאת התיקים ההמוזגים זהה? (כן- זהה. לא - לא זהה),"בג""ץ?",תיקים נוספים שאוחדו ונדחו,תיקים נוספים שאוחדו והתקבלו,*/# אם מדובר בריבוי תיקים
2340/2013,201/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\010\002\l11&fileName=13002010_l11.txt&type=2,כן,,,,*
70/2014,8342/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\420\083\t10&fileName=13083420_t10.txt&type=2,כן,,,,
8590/2010,4400/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\000\044\c13&fileName=10044000_c13.txt&type=2,כן,כן,,,
7242/2015,7279/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\420\072\m08&fileName=15072420.M08&type=2,כן,,,,
8617/2014,8464/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\640\084\t14&fileName=14084640_t14.txt&type=2,כן,,,,
8321/2012,7961/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\610\079\s09&fileName=12079610_s09.txt&type=2,כן,,,,*
8085/2012,7961/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\610\079\s09&fileName=12079610_s09.txt&type=2,כן,,,,*
738/2012,7716/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\160\077\e20&fileName=11077160_e20.txt&type=2,כן,כן,,,
285/2017,4466/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\660\044\w35&fileName=16044660.W35&type=2,כן,כן,,,*
8503/2016,4466/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\660\044\w35&fileName=16044660.W35&type=2,כן,כן,,,*
6524/2017,4466/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\660\044\w35&fileName=16044660.W35&type=2,כן,כן,,,*
3066/2011,2628/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\280\026\c09&fileName=11026280_c09.txt&type=2,כן,,,,#
3018/2011,2628/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\280\026\c09&fileName=11026280_c09.txt&type=2,כן,,,,#
9699/2010,9392/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\920\093\z07&fileName=10093920_z07.txt&type=2,כן,,,,
5938/2016,6410/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\380\059\e04&fileName=16059380.E04&type=2,כן,,,,
6471/2012,5535/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\350\055\w05&fileName=12055350_w05.txt&type=2,כן,,,,
6171/2012,5719/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\190\057\l05&fileName=12057190_l05.txt&type=2,כן,,,,
633/2014,5953/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\530\059\w07&fileName=13059530_w07.txt&type=2,כן,,,,
7718/2011,7113/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\130\071\e08&fileName=11071130_e08.txt&type=2,כן,,,,
2321/2016,958/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\580\009\t04&fileName=16009580_t04.txt&type=2,כן,,,,
955/2017,4344/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\440\043\t11&fileName=16043440_t11.txt&type=2,כן,כן,,,*
7828/2016,4344/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\440\043\t11&fileName=16043440_t11.txt&type=2,כן,כן,,,*
782/2017,4344/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\440\043\t11&fileName=16043440_t11.txt&type=2,כן,כן,,,*
9061/2016,4344/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\440\043\t11&fileName=16043440_t11.txt&type=2,כן,כן,,,*
6612/2012,6555/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\550\065\b03&fileName=12065550_b03.txt&type=2,כן,,,,
462/2014,448/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\480\004\l02&fileName=14004480_l02.txt&type=2,כן,,,,
5431/2011,5255/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\550\052\m05&fileName=11052550_m05.txt&type=2,כן,,,,
5280/2015,5148/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\480\051\z08&fileName=15051480_z08.txt&type=2,כן,כן,,,
29/2012,9612/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\120\096\c25&fileName=11096120_c25.txt&type=2,כן,,,,
6865/2016,6032/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\060\z05&fileName=16060320_z05.txt&type=2,כן,,,,
7589/2012,1201/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\010\012\z15&fileName=12012010_z15.txt&type=2,כן,,,,
349/2015,347/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\470\003\l19&fileName=15003470_l19.txt&type=2,כן,,,,
3539/2011,9498/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\980\094\k05&fileName=10094980_k05.txt&type=2,כן,,,,
2015/2015,3760/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\600\037\t04&fileName=15037600_t04.txt&type=2,כן,,,,
5380/2010,5227/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\270\052\c22&fileName=10052270_c22.txt&type=2,כן,,,,*
6419/2010,5227/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\270\052\c22&fileName=10052270_c22.txt&type=2,כן,,,,*
7225/2014,7006/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\060\070\t05&fileName=14070060_t05.txt&type=2,כן,,,,*
7096/2014,7006/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\060\070\t05&fileName=14070060_t05.txt&type=2,כן,,,,*
4090/2015,3172/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\720\031\w06&fileName=15031720_w06.txt&type=2,כן,,,,
3563/2012,2463/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\630\024\o06&fileName=12024630_o06.txt&type=2,כן,,,,
5414/2016,637/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\360\018\m07&fileName=16018360.M07&type=2,כן,כן,,,*
8352/2016,637/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\360\018\m07&fileName=16018360.M07&type=2,כן,כן,,,*
1836/2016,637/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\360\018\m07&fileName=16018360.M07&type=2,כן,כן,,,*
9125/2011,9104/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\040\091\t02&fileName=11091040_t02.txt&type=2,כן,,,,
4694/2011,3803/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\030\038\p04&fileName=11038030_p04.txt&type=2,כן,כן,,,#
5437/2011,3803/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\030\038\p04&fileName=11038030_p04.txt&type=2,כן,כן,,,#
4545/2016,4407/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\070\044\m02&fileName=16044070_m02.txt&type=2,כן,,,,
8867/2015,8465/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\650\084\v12&fileName=15084650_v12.txt&type=2,כן,,,,*
8881/2015,8465/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\650\084\v12&fileName=15084650_v12.txt&type=2,כן,,,,*
8900/2015,8465/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\650\084\v12&fileName=15084650_v12.txt&type=2,כן,,,,*
3841/2014,3843/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\430\038\a03&fileName=14038430_a03.txt&type=2,כן,כן,,,
4609/2016,4607/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\070\046\i14&fileName=16046070_i14.txt&type=2,כן,,,,
535/2011,6980/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\800\069\m09&fileName=10069800_m09.txt&type=2,כן,כן,,,
5786/2015,7054/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\860\057\g11&fileName=15057860.G11&type=2,כן,,,,
340/2010,151/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\510\001\e15&fileName=10001510_e15.txt&type=2,כן,,,,
5300/2014,5290/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\900\052\w03&fileName=14052900_w03.txt&type=2,כן,כן,,,*
5295/2014,5290/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\900\052\w03&fileName=14052900_w03.txt&type=2,כן,כן,,,*
5803/2015,5801/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\010\058\k12&fileName=15058010.K12&type=2,כן,כן,,,
3986/2014,3985/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\850\039\v01&fileName=14039850_v01.txt&type=2,כן,כן,,,*
3987/2014,3985/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\850\039\v01&fileName=14039850_v01.txt&type=2,כן,כן,,,*
3996/2014,3985/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\850\039\v01&fileName=14039850_v01.txt&type=2,כן,כן,,,*
1439/2014,8824/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\240\088\c24&fileName=13088240_c24.txt&type=2,כן,כן,,,
1095/2015,1096/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\960\010\c02&fileName=15010960_c02.txt&type=2,כן,,,,
1341/2015,1285/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\850\012\t07&fileName=15012850_t07.txt&type=2,כן,,,,
5879/2013,5476/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\760\054\o01&fileName=13054760_o01.txt&type=2,כן,,,,
2832/2017,2874/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\320\028\z02&fileName=17028320.Z02&type=2,כן,,,,
4991/2012,4798/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\980\047\e09&fileName=12047980_e09.txt&type=2,כן,,,,
8559/2014,1715/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\150\017\o17&fileName=14017150_o17.txt&type=2,כן,,,,
7967/2012,7481/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\810\074\c07&fileName=12074810_c07.txt&type=2,כן,,,,*
8487/2012,7481/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\810\074\c07&fileName=12074810_c07.txt&type=2,כן,,,,*
7073/2011,1960/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\600\019\e12&fileName=11019600_e12.txt&type=2,כן,,,,
9225/2011,4592/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\920\045\s24&fileName=11045920_s24.txt&type=2,כן,,,,
8502/2012,8324/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\240\083\s14&fileName=12083240_s14.txt&type=2,כן,,,,
4358/2016,4356/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\560\043\b12&fileName=16043560_b12.txt&type=2,כן,כן,,,*
7061/2016,4356/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\560\043\b12&fileName=16043560_b12.txt&type=2,כן,כן,,,*
