תיק כפול,תיק מקורי,כתובת,האם תוצאת התיקים ההמוזגים זהה? (כן- זהה. לא - לא זהה),"בג""ץ?",תיקים נוספים שאוחדו ונדחו,תיקים נוספים שאוחדו והתקבלו,*/# אם מדובר בריבוי תיקים
2454/2012,2206/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\060\022\l06&fileName=12022060_l06.txt&type=2,כן,כן,,,
3176/2013,3154/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\540\031\t12&fileName=13031540_t12.txt&type=2,כן,,,,
8222/2016,8146/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\081\j13&fileName=16081460.J13&type=2,כן,,,,
9698/2010,9338/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\380\093\c36&fileName=10093380_c36.txt&type=2,כן,,,,
6361/2011,5927/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\270\059\l26&fileName=11059270_l26.txt&type=2,כן,,,,#
6359/2011,5927/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\270\059\l26&fileName=11059270_l26.txt&type=2,כן,,,,#
6363/2011,5927/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\270\059\l26&fileName=11059270_l26.txt&type=2,כן,,,,#
6302/2011,5927/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\270\059\l26&fileName=11059270_l26.txt&type=2,כן,,,,#
5888/2014,8847/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\470\088\g18&fileName=13088470_g18.txt&type=2,כן,,,,
1476/2013,1880/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\800\018\t02&fileName=13018800_t02.txt&type=2,כן,,,,תיק בודד
7837/2011,7793/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\930\077\c02&fileName=11077930_c02.txt&type=2,כן,כן,,,
8751/2014,8622/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\220\086\l10&fileName=14086220_l10.txt&type=2,כן,,,,
5575/2011,4921/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\210\049\i03&fileName=11049210_i03.txt&type=2,כן,,,,#
6243/2011,4921/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\210\049\i03&fileName=11049210_i03.txt&type=2,כן,,,,#
3723/2015,3555/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\550\035\e25&fileName=15035550_e25.txt&type=2,כן,,,,#
5447/2016,3555/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\550\035\e25&fileName=15035550_e25.txt&type=2,כן,,,,#
3589/2011,3585/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\035\s04&fileName=11035850_s04.txt&type=2,כן,,,,
5340/2012,6382/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\820\063\t08&fileName=11063820_t08.txt&type=2,כן,,,,
4869/2010,8098/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\980\080\t10&fileName=10080980_t10.txt&type=2,כן,כן,,,#
8284/2010,8098/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\980\080\t10&fileName=10080980_t10.txt&type=2,כן,כן,,,#
140/2010,355/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\550\003\c06&fileName=10003550_c06.txt&type=2,כן,,,,תיק בודד
1855/2012,1793/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\930\017\t06&fileName=12017930_t06.txt&type=2,כן,,,,
7312/2014,7256/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\072\v08&fileName=14072560_v08.txt&type=2,כן,,,,
3022/2015,2361/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\610\023\w13&fileName=15023610_w13.txt&type=2,כן,,,,תיק בודד
1957/2015,1704/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\040\017\o21&fileName=15017040_o21.txt&type=2,כן,,,,#
1924/2015,1704/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\040\017\o21&fileName=15017040_o21.txt&type=2,כן,,,,#
7447/2014,7115/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\150\071\v10&fileName=14071150_v10.txt&type=2,כן,,,,
8378/2015,7424/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\240\074\e21&fileName=15074240.E21&type=2,כן,,,,
7536/2011,7374/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\740\073\o04&fileName=11073740_o04.txt&type=2,כן,,,,
2394/2012,2390/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\900\023\l13&fileName=12023900_l13.txt&type=2,כן,,,,#
2448/2012,2390/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\900\023\l13&fileName=12023900_l13.txt&type=2,כן,,,,#
8154/2015,8150/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\500\081\e03&fileName=15081500_e03.txt&type=2,כן,כן,,,*
8156/2015,8150/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\500\081\e03&fileName=15081500_e03.txt&type=2,כן,כן,,,*
9271/2012,9246/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\460\092\t05&fileName=12092460_t05.txt&type=2,כן,,,,
8032/2016,981/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\080\i11&fileName=16080320.I11&type=2,כן,,,,*
8542/2016,981/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\080\i11&fileName=16080320.I11&type=2,כן,,,,*
985/2017,981/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\080\i11&fileName=16080320.I11&type=2,כן,,,,*
647/2017,981/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\080\i11&fileName=16080320.I11&type=2,כן,,,,*
960/2017,981/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\080\i11&fileName=16080320.I11&type=2,כן,,,,*
7923/2013,2810/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\100\028\z15&fileName=13028100_z15.txt&type=2,כן,,,,
3206/2016,3079/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\790\030\w02&fileName=16030790_w02.txt&type=2,כן,,,,
5941/2013,5913/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\130\059\c02&fileName=13059130_c02.txt&type=2,כן,,,,
7160/2013,1637/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\370\016\o05&fileName=13016370_o05.txt&type=2,כן,,,,#
6362/2013,1637/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\370\016\o05&fileName=13016370_o05.txt&type=2,כן,,,,#
7506/2011,2840/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\400\028\k05&fileName=11028400_k05.txt&type=2,כן,,,,*
3670/2011,2840/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\400\028\k05&fileName=11028400_k05.txt&type=2,כן,,,,*
4090/2016,2385/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\850\023\t08&fileName=16023850_t08.txt&type=2,כן,כן,,,#
5741/2016,2385/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\850\023\t08&fileName=16023850_t08.txt&type=2,כן,כן,,,#
684/2011,770/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\700\007\t09&fileName=11007700_t09.txt&type=2,כן,,,,
4243/2010,4169/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\041\n04&fileName=10041690_n04.txt&type=2,כן,כן,,,#
4220/2010,4169/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\041\n04&fileName=10041690_n04.txt&type=2,כן,כן,,,#
4240/2010,4169/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\041\n04&fileName=10041690_n04.txt&type=2,כן,כן,,,#
4193/2010,4169/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\041\n04&fileName=10041690_n04.txt&type=2,כן,כן,,,#
4221/2010,4169/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\690\041\n04&fileName=10041690_n04.txt&type=2,כן,כן,,,#
3063/2013,3011/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\030\t13&fileName=13030110_t13.txt&type=2,כן,,,,
6677/2012,5665/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\650\056\e07&fileName=12056650_e07.txt&type=2,כן,,,,
7313/2015,6560/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\600\065\h07&fileName=15065600_h07.txt&type=2,כן,,,,
2187/2014,2165/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\650\021\m01&fileName=14021650_m01.txt&type=2,כן,,,,
1400/2012,7898/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\980\078\c11&fileName=11078980_c11.txt&type=2,כן,,,,
1414/2017,2030/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\140\014\m04&fileName=17014140.M04&type=2,כן,,,,
5316/2016,5212/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\120\052\h02&fileName=16052120_h02.txt&type=2,כן,כן,,,#
5271/2016,5212/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\120\052\h02&fileName=16052120_h02.txt&type=2,כן,כן,,,#
7738/2014,5643/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\430\056\l02&fileName=14056430_l02.txt&type=2,כן,,,,
4440/2013,4351/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\510\043\e08&fileName=13043510_e08.txt&type=2,כן,,,,
7617/2011,7718/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\180\077\v12&fileName=10077180_v12.txt&type=2,כן,,,,
863/2012,1044/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\440\010\h14&fileName=12010440_h14.txt&type=2,כן,,,,
1743/2010,1732/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\320\017\o12&fileName=10017320_o12.txt&type=2,כן,,,,
5556/2013,5316/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\160\053\l03&fileName=13053160_l03.txt&type=2,כן,,,,
1782/2014,1787/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\870\017\i04&fileName=14017870_i04.txt&type=2,כן,,,,
3154/2010,3132/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\320\031\b15&fileName=10031320_b15.txt&type=2,כן,,,,
7049/2012,6990/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\900\069\e08&fileName=12069900_e08.txt&type=2,כן,,,,
3193/2016,3113/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\130\031\k02&fileName=16031130_k02.txt&type=2,כן,,,,
4906/2015,6955/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\550\069\t16&fileName=14069550_t16.txt&type=2,כן,,,,
6151/2014,5134/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\340\051\g11&fileName=14051340_g11.txt&type=2,כן,כן,,,#
7501/2014,5134/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\340\051\g11&fileName=14051340_g11.txt&type=2,כן,כן,,,#
936/2013,2118/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\180\021\w10&fileName=12021180_w10.txt&type=2,כן,,,,
1005/2015,7171/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\710\071\l11&fileName=14071710_l11.txt&type=2,כן,,,,
3066/2010,2533/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\330\025\z04&fileName=10025330_z04.txt&type=2,כן,,,,
8682/2013,8617/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\170\086\a05&fileName=13086170_a05.txt&type=2,כן,,,,
2778/2014,375/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\750\003\v13&fileName=14003750_v13.txt&type=2,כן,כן,,,
6604/2011,6565/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\650\065\v09&fileName=11065650_v09.txt&type=2,כן,,,,#
6588/2011,6565/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\650\065\v09&fileName=11065650_v09.txt&type=2,כן,,,,#
3664/2015,3301/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\010\033\t04&fileName=15033010_t04.txt&type=2,כן,כן,,,
7975/2015,7977/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\770\079\v11&fileName=15079770_v11.txt&type=2,כן,,,,
261/2015,152/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\520\001\h06&fileName=15001520_h06.txt&type=2,כן,,,,#
174/2015,152/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\520\001\h06&fileName=15001520_h06.txt&type=2,כן,,,,#
160/2015,152/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\520\001\h06&fileName=15001520_h06.txt&type=2,כן,,,,#
2250/2015,2204/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\040\022\v01&fileName=15022040_v01.txt&type=2,כן,,,,
5206/2010,4559/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\590\045\e03&fileName=10045590_e03.txt&type=2,כן,,,,
3321/2014,2719/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\190\027\v12&fileName=14027190_v12.txt&type=2,כן,,,,#
3185/2014,2719/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\190\027\v12&fileName=14027190_v12.txt&type=2,כן,,,,#
5108/2012,5107/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\070\051\w04&fileName=12051070_w04.txt&type=2,כן,,,,
2051/2010,2046/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\460\020\n16&fileName=10020460_n16.txt&type=2,כן,,,,
8372/2014,8344/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\440\083\w06&fileName=14083440_w06.txt&type=2,כן,,,,
6975/2017,5209/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\090\052\o03&fileName=17052090.O03&type=2,כן,,,,
4099/2012,3564/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\640\035\l02&fileName=12035640_l02.txt&type=2,כן,,,,
7869/2011,7849/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\490\078\z18&fileName=11078490_z18.txt&type=2,כן,,,,*
7897/2011,7849/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\490\078\z18&fileName=11078490_z18.txt&type=2,כן,,,,*
6869/2012,6132/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\320\061\m15&fileName=12061320_m15.txt&type=2,כן,,,,
6366/2010,5525/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\250\055\e08&fileName=10055250_e08.txt&type=2,כן,,,,
7315/2010,6823/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\230\068\m07&fileName=10068230_m07.txt&type=2,כן,,,,
8732/2011,7696/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\960\076\c07&fileName=11076960_c07.txt&type=2,כן,,,,
4703/2010,1812/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\120\018\p08&fileName=10018120_p08.txt&type=2,כן,,,,#
3155/2010,1812/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\120\018\p08&fileName=10018120_p08.txt&type=2,כן,,,,#
2614/2011,2474/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\740\024\o02&fileName=11024740_o02.txt&type=2,כן,,,,
7102/2012,7671/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\020\071\g20&fileName=12071020.G20&type=2,כן,,,,
8777/2011,3734/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\037\c14&fileName=11037340_c14.txt&type=2,כן,כן,,,#
2279/2012,3734/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\037\c14&fileName=11037340_c14.txt&type=2,כן,כן,,,#
4512/2011,3734/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\037\c14&fileName=11037340_c14.txt&type=2,כן,כן,,,#
4602/2012,4536/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\360\045\b04&fileName=12045360_b04.txt&type=2,כן,,,,
8703/2013,8473/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\730\084\z03&fileName=13084730_z03.txt&type=2,כן,,,,
1390/2017,64/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\640\000\n12&fileName=17000640_n12.txt&type=2,כן,כן,,,
6773/2014,6410/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\100\064\i15&fileName=14064100_i15.txt&type=2,כן,כן,,,
4503/2013,3677/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\770\036\h11&fileName=13036770_h11.txt&type=2,כן,,,,#
4606/2013,3677/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\770\036\h11&fileName=13036770_h11.txt&type=2,כן,,,,#
1817/2016,1802/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\020\018\e05&fileName=16018020_e05.txt&type=2,כן,כן,,,
4734/2012,1620/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\200\016\v05&fileName=12016200_v05.txt&type=2,כן,,,,
4930/2012,4776/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\760\047\c05&fileName=12047760_c05.txt&type=2,כן,,,,
1906/2015,844/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\440\008\w28&fileName=12008440_w28.txt&type=2,כן,,,,
2755/2015,844/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\440\008\w28&fileName=12008440_w28.txt&type=2,כן,,,,
1925/2010,1882/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\820\018\s03&fileName=10018820_s03.txt&type=2,כן,כן,,,#
1949/2010,1882/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\820\018\s03&fileName=10018820_s03.txt&type=2,כן,כן,,,#
784/2013,743/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\430\007\c04&fileName=13007430_c04.txt&type=2,כן,,,,
3325/2012,2198/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\980\021\b02&fileName=12021980_b02.txt&type=2,כן,,,,
8066/2015,8009/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\090\080\i06&fileName=15080090_i06.txt&type=2,כן,,,,
7472/2012,7138/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\380\071\t13&fileName=12071380_t13.txt&type=2,כן,,,,
7997/2015,8387/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\970\079\o05&fileName=15079970.O05&type=2,כן,,,,
5494/2011,3981/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,,#
8553/2011,3981/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,,#
4731/2011,3981/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,,#
8461/2011,3981/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,,#
4727/2011,3981/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\810\039\p12&fileName=11039810_p12.txt&type=2,כן,,,,#
2367/2013,348/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\480\003\k12&fileName=13003480_k12.txt&type=2,כן,כן,,,
7226/2015,7159/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\590\071\t11&fileName=15071590_t11.txt&type=2,כן,,,,
6247/2011,6185/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\061\o02&fileName=11061850_o02.txt&type=2,כן,,,,*
6309/2011,6185/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\061\o02&fileName=11061850_o02.txt&type=2,כן,,,,*
8463/2011,8358/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\580\083\t06&fileName=11083580_t06.txt&type=2,כן,,,,
345/2013,167/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\670\001\o04&fileName=13001670_o04.txt&type=2,כן,,,,
4424/2010,397/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\970\003\b13&fileName=10003970_b13.txt&type=2,כן,כן,,,
1118/2015,3040/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\400\030\m32&fileName=14030400_m32.txt&type=2,כן,כן,,,#
2614/2015,3040/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\400\030\m32&fileName=14030400_m32.txt&type=2,כן,כן,,,#
2424/2015,3040/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\400\030\m32&fileName=14030400_m32.txt&type=2,כן,כן,,,#
2847/2014,2350/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\500\023\b08&fileName=14023500_b08.txt&type=2,כן,,,,*
2796/2014,2350/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\500\023\b08&fileName=14023500_b08.txt&type=2,כן,,,,*
5819/2014,2350/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\500\023\b08&fileName=14023500_b08.txt&type=2,כן,,,,*
1330/2015,1278/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\780\012\i05&fileName=15012780_i05.txt&type=2,כן,,,,
2993/2011,2557/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\570\025\o03&fileName=11025570_o03.txt&type=2,כן,,,,
6429/2011,5952/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\520\059\c01&fileName=11059520_c01.txt&type=2,כן,,,,
8201/2014,7255/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\550\072\z04&fileName=14072550_z04.txt&type=2,כן,,,,
2969/2016,1397/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\970\013\b03&fileName=16013970_b03.txt&type=2,כן,,,,*
2986/2016,1397/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\970\013\b03&fileName=16013970_b03.txt&type=2,כן,,,,*
7482/2012,6897/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\970\068\t10&fileName=12068970_t10.txt&type=2,כן,,,,
1200/2014,6934/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\340\069\v13&fileName=13069340_v13.txt&type=2,כן,,,,
6715/2016,6558/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\580\065\h07&fileName=16065580_h07.txt&type=2,כן,,,,
1083/2015,6479/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\790\064\c20&fileName=13064790_c20.txt&type=2,כן,,,,
1055/2010,1049/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\490\010\v05&fileName=10010490_v05.txt&type=2,כן,,,,
7255/2013,6757/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\570\067\l12&fileName=13067570_l12.txt&type=2,כן,,,,
968/2016,967/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\670\009\t03&fileName=16009670_t03.txt&type=2,כן,כן,,,
8067/2015,5883/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\830\058\t18&fileName=14058830_t18.txt&type=2,כן,,,,#
105/2016,5883/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\830\058\t18&fileName=14058830_t18.txt&type=2,כן,,,,#
8610/2011,4777/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\770\047\i02&fileName=11047770_i02.txt&type=2,כן,,,,
7196/2013,6011/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\060\z08&fileName=13060110_z08.txt&type=2,כן,,,,
2954/2013,2337/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\370\023\b02&fileName=13023370_b02.txt&type=2,כן,,,,
860/2010,204/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\040\002\b04&fileName=10002040_b04.txt&type=2,כן,,,,
8070/2014,8066/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\660\080\t03&fileName=14080660_t03.txt&type=2,כן,כן,,,
2190/2013,1846/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\460\018\k01&fileName=13018460_k01.txt&type=2,כן,,,,
8890/2010,8388/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\880\083\h02&fileName=10083880_h02.txt&type=2,כן,,,,
1859/2010,1857/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\570\018\c08&fileName=10018570_c08.txt&type=2,כן,,,,
6025/2014,5035/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\350\050\z23&fileName=14050350_z23.txt&type=2,כן,,,,
266/2014,8510/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\100\085\i03&fileName=13085100_i03.txt&type=2,כן,,,,
3103/2010,3024/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\240\030\v10&fileName=10030240_v10.txt&type=2,כן,,,,*
3412/2010,3024/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\240\030\v10&fileName=10030240_v10.txt&type=2,כן,,,,*
